Encoder,Video Number,Resolution,Distortion Level,MOS,path
AV1,1,540p,1,49.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/960x540_1.mp4
AV1,1,540p,2,68.37,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/960x540_2.mp4
AV1,1,540p,3,70.75,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/960x540_3.mp4
AV1,1,540p,4,76.37,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/01/960x540_4.mp4
HEVC,2,540p,1,31.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/960x540_1.mp4
HEVC,2,540p,2,45.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/960x540_2.mp4
HEVC,2,540p,3,47.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/960x540_3.mp4
HEVC,2,540p,4,53.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/02/960x540_4.mp4
H264,2,540p,1,5.78,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/02/960x540_1.mp4
H264,2,540p,2,30.68,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/02/960x540_2.mp4
H264,2,540p,3,52.35,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/02/960x540_3.mp4
H264,2,540p,4,52.77,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/02/960x540_4.mp4
VP9,2,540p,1,34.32,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/02/960x540_1.mp4
VP9,2,540p,2,49.57,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/02/960x540_2.mp4
VP9,2,540p,3,44.41,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/02/960x540_3.mp4
VP9,2,540p,4,59.24,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/02/960x540_4.mp4
AVS2,2,540p,1,44.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/02/960x540_1.mp4
AVS2,2,540p,2,47.59,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/02/960x540_2.mp4
AVS2,2,540p,3,46.57,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/02/960x540_3.mp4
AVS2,2,540p,4,49.92,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/02/960x540_4.mp4
AV1,2,540p,1,46.34,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/02/960x540_1.mp4
AV1,2,540p,2,61.71,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/02/960x540_2.mp4
AV1,2,540p,3,58.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/02/960x540_3.mp4
AV1,2,540p,4,59.99,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/02/960x540_4.mp4
HEVC,3,540p,1,16.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/03/960x540_1.mp4
HEVC,3,540p,2,39.24,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/03/960x540_2.mp4
HEVC,3,540p,3,51.05,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/03/960x540_3.mp4
HEVC,3,540p,4,73.62,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/03/960x540_4.mp4
H264,3,540p,1,13.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/03/960x540_1.mp4
H264,3,540p,2,35.01,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/03/960x540_2.mp4
H264,3,540p,3,55.48,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/03/960x540_3.mp4
H264,3,540p,4,72.55,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/03/960x540_4.mp4
VP9,3,540p,1,37.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/03/960x540_1.mp4
VP9,3,540p,2,54.8,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/03/960x540_2.mp4
VP9,3,540p,3,61.9,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/03/960x540_3.mp4
VP9,3,540p,4,76.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/03/960x540_4.mp4
AVS2,3,540p,1,20.19,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/03/960x540_1.mp4
AVS2,3,540p,2,40.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/03/960x540_2.mp4
AVS2,3,540p,3,46.15,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/03/960x540_3.mp4
AVS2,3,540p,4,70.56,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/03/960x540_4.mp4
AV1,3,540p,1,52.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/03/960x540_1.mp4
AV1,3,540p,2,68.19,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/03/960x540_2.mp4
AV1,3,540p,3,77.46,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/03/960x540_3.mp4
AV1,3,540p,4,74.25,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/03/960x540_4.mp4
HEVC,4,540p,1,11.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/04/960x540_1.mp4
HEVC,4,540p,2,48.56,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/04/960x540_2.mp4
HEVC,4,540p,3,56.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/04/960x540_3.mp4
HEVC,4,540p,4,71.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/04/960x540_4.mp4
H264,4,540p,1,13.55,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/04/960x540_1.mp4
H264,4,540p,2,33.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/04/960x540_2.mp4
H264,4,540p,3,59.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/04/960x540_3.mp4
H264,4,540p,4,75.16,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/04/960x540_4.mp4
VP9,4,540p,1,42.0,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/04/960x540_1.mp4
VP9,4,540p,2,63.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/04/960x540_2.mp4
VP9,4,540p,3,64.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/04/960x540_3.mp4
VP9,4,540p,4,69.55,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/04/960x540_4.mp4
AVS2,4,540p,1,31.23,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/04/960x540_1.mp4
AVS2,4,540p,2,51.31,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/04/960x540_2.mp4
AVS2,4,540p,3,59.9,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/04/960x540_3.mp4
AVS2,4,540p,4,73.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/04/960x540_4.mp4
AV1,4,540p,1,52.96,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/04/960x540_1.mp4
AV1,4,540p,2,63.62,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/04/960x540_2.mp4
AV1,4,540p,3,72.77,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/04/960x540_3.mp4
AV1,4,540p,4,81.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/04/960x540_4.mp4
HEVC,5,540p,1,17.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/05/960x540_1.mp4
HEVC,5,540p,2,31.0,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/05/960x540_2.mp4
HEVC,5,540p,3,33.69,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/05/960x540_3.mp4
HEVC,5,540p,4,39.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/05/960x540_4.mp4
H264,5,540p,1,7.28,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/05/960x540_1.mp4
H264,5,540p,2,27.01,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/05/960x540_2.mp4
H264,5,540p,3,42.5,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/05/960x540_3.mp4
H264,5,540p,4,42.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/05/960x540_4.mp4
VP9,5,540p,1,29.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/05/960x540_1.mp4
VP9,5,540p,2,34.25,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/05/960x540_2.mp4
VP9,5,540p,3,43.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/05/960x540_3.mp4
VP9,5,540p,4,48.82,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/05/960x540_4.mp4
AVS2,5,540p,1,5.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/05/960x540_1.mp4
AVS2,5,540p,2,22.37,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/05/960x540_2.mp4
AVS2,5,540p,3,25.11,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/05/960x540_3.mp4
AVS2,5,540p,4,36.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/05/960x540_4.mp4
AV1,5,540p,1,38.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/05/960x540_1.mp4
AV1,5,540p,2,45.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/05/960x540_2.mp4
AV1,5,540p,3,43.67,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/05/960x540_3.mp4
AV1,5,540p,4,42.98,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/05/960x540_4.mp4
HEVC,6,540p,1,17.58,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/06/960x540_1.mp4
HEVC,6,540p,2,31.53,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/06/960x540_2.mp4
HEVC,6,540p,3,39.81,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/06/960x540_3.mp4
HEVC,6,540p,4,59.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/06/960x540_4.mp4
H264,6,540p,1,12.89,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/06/960x540_1.mp4
H264,6,540p,2,35.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/06/960x540_2.mp4
H264,6,540p,3,48.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/06/960x540_3.mp4
H264,6,540p,4,61.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/06/960x540_4.mp4
VP9,6,540p,1,39.27,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/06/960x540_1.mp4
VP9,6,540p,2,42.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/06/960x540_2.mp4
VP9,6,540p,3,48.06,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/06/960x540_3.mp4
VP9,6,540p,4,54.86,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/06/960x540_4.mp4
AVS2,6,540p,1,8.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/06/960x540_1.mp4
AVS2,6,540p,2,31.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/06/960x540_2.mp4
AVS2,6,540p,3,33.96,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/06/960x540_3.mp4
AVS2,6,540p,4,55.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/06/960x540_4.mp4
AV1,6,540p,1,40.75,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/06/960x540_1.mp4
AV1,6,540p,2,54.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/06/960x540_2.mp4
AV1,6,540p,3,52.46,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/06/960x540_3.mp4
AV1,6,540p,4,55.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/06/960x540_4.mp4
HEVC,7,540p,1,21.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/07/960x540_1.mp4
HEVC,7,540p,2,42.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/07/960x540_2.mp4
HEVC,7,540p,3,56.44,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/07/960x540_3.mp4
HEVC,7,540p,4,75.47,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/07/960x540_4.mp4
H264,7,540p,1,13.79,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/07/960x540_1.mp4
H264,7,540p,2,41.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/07/960x540_2.mp4
H264,7,540p,3,63.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/07/960x540_3.mp4
H264,7,540p,4,77.64,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/07/960x540_4.mp4
VP9,7,540p,1,31.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/07/960x540_1.mp4
VP9,7,540p,2,54.11,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/07/960x540_2.mp4
VP9,7,540p,3,67.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/07/960x540_3.mp4
VP9,7,540p,4,84.4,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/07/960x540_4.mp4
AVS2,7,540p,1,27.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/07/960x540_1.mp4
AVS2,7,540p,2,51.86,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/07/960x540_2.mp4
AVS2,7,540p,3,70.8,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/07/960x540_3.mp4
AVS2,7,540p,4,80.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/07/960x540_4.mp4
AV1,7,540p,1,52.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/07/960x540_1.mp4
AV1,7,540p,2,73.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/07/960x540_2.mp4
AV1,7,540p,3,76.36,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/07/960x540_3.mp4
AV1,7,540p,4,81.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/07/960x540_4.mp4
HEVC,8,540p,1,7.13,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/08/960x540_1.mp4
HEVC,8,540p,2,26.87,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/08/960x540_2.mp4
HEVC,8,540p,3,37.24,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/08/960x540_3.mp4
HEVC,8,540p,4,69.54,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/08/960x540_4.mp4
H264,8,540p,1,4.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/08/960x540_1.mp4
H264,8,540p,2,23.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/08/960x540_2.mp4
H264,8,540p,3,48.99,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/08/960x540_3.mp4
H264,8,540p,4,65.43,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/08/960x540_4.mp4
VP9,8,540p,1,31.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/08/960x540_1.mp4
VP9,8,540p,2,43.68,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/08/960x540_2.mp4
VP9,8,540p,3,65.64,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/08/960x540_3.mp4
VP9,8,540p,4,72.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/08/960x540_4.mp4
AVS2,8,540p,1,13.73,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/08/960x540_1.mp4
AVS2,8,540p,2,26.78,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/08/960x540_2.mp4
AVS2,8,540p,3,42.86,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/08/960x540_3.mp4
AVS2,8,540p,4,66.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/08/960x540_4.mp4
AV1,8,540p,1,34.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/08/960x540_1.mp4
AV1,8,540p,2,56.63,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/08/960x540_2.mp4
AV1,8,540p,3,65.02,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/08/960x540_3.mp4
AV1,8,540p,4,72.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/08/960x540_4.mp4
HEVC,9,540p,1,23.91,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/09/960x540_1.mp4
HEVC,9,540p,2,41.1,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/09/960x540_2.mp4
HEVC,9,540p,3,43.52,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/09/960x540_3.mp4
HEVC,9,540p,4,49.42,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/09/960x540_4.mp4
H264,9,540p,1,7.11,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/09/960x540_1.mp4
H264,9,540p,2,30.67,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/09/960x540_2.mp4
H264,9,540p,3,44.34,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/09/960x540_3.mp4
H264,9,540p,4,56.08,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/09/960x540_4.mp4
VP9,9,540p,1,30.27,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/09/960x540_1.mp4
VP9,9,540p,2,39.69,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/09/960x540_2.mp4
VP9,9,540p,3,49.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/09/960x540_3.mp4
VP9,9,540p,4,55.5,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/09/960x540_4.mp4
AVS2,9,540p,1,18.69,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/09/960x540_1.mp4
AVS2,9,540p,2,24.74,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/09/960x540_2.mp4
AVS2,9,540p,3,40.06,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/09/960x540_3.mp4
AVS2,9,540p,4,49.12,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/09/960x540_4.mp4
AV1,9,540p,1,44.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/09/960x540_1.mp4
AV1,9,540p,2,53.25,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/09/960x540_2.mp4
AV1,9,540p,3,55.29,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/09/960x540_3.mp4
AV1,9,540p,4,63.4,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/09/960x540_4.mp4
HEVC,10,540p,1,20.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/10/960x540_1.mp4
HEVC,10,540p,2,46.43,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/10/960x540_2.mp4
HEVC,10,540p,3,55.93,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/10/960x540_3.mp4
HEVC,10,540p,4,69.2,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/10/960x540_4.mp4
H264,10,540p,1,8.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/10/960x540_1.mp4
H264,10,540p,2,36.15,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/10/960x540_2.mp4
H264,10,540p,3,60.85,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/10/960x540_3.mp4
H264,10,540p,4,69.22,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/10/960x540_4.mp4
VP9,10,540p,1,37.25,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/10/960x540_1.mp4
VP9,10,540p,2,56.89,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/10/960x540_2.mp4
VP9,10,540p,3,61.99,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/10/960x540_3.mp4
VP9,10,540p,4,68.48,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/10/960x540_4.mp4
AVS2,10,540p,1,18.68,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/10/960x540_1.mp4
AVS2,10,540p,2,40.1,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/10/960x540_2.mp4
AVS2,10,540p,3,56.55,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/10/960x540_3.mp4
AVS2,10,540p,4,60.6,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/10/960x540_4.mp4
AV1,10,540p,1,31.39,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/10/960x540_1.mp4
AV1,10,540p,2,50.14,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/10/960x540_2.mp4
AV1,10,540p,3,64.57,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/10/960x540_3.mp4
AV1,10,540p,4,69.03,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AV1/10/960x540_4.mp4
HEVC,11,540p,1,10.07,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/11/960x540_1.mp4
HEVC,11,540p,2,35.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/11/960x540_2.mp4
HEVC,11,540p,3,54.51,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/11/960x540_3.mp4
HEVC,11,540p,4,75.71,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/11/960x540_4.mp4
H264,11,540p,1,6.59,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/11/960x540_1.mp4
H264,11,540p,2,33.56,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/11/960x540_2.mp4
H264,11,540p,3,64.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/11/960x540_3.mp4
H264,11,540p,4,75.05,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/11/960x540_4.mp4
VP9,11,540p,1,38.45,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/11/960x540_1.mp4
VP9,11,540p,2,56.71,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/11/960x540_2.mp4
VP9,11,540p,3,67.18,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/11/960x540_3.mp4
VP9,11,540p,4,73.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/11/960x540_4.mp4
AVS2,11,540p,1,16.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/11/960x540_1.mp4
